gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5206239389	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/223463516	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris		US		Texas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	30.699201	-104.117679	75.0						2024-06-03T22:36	3	6	2024	4301148	4301148	HUMAN_OBSERVATION	iNaturalist	Observations	223463516		Jack Cochran	2024-06-18T01:59:44	CC_BY_NC_4_0	Jack Cochran	Jack Cochran			2025-10-27T22:32:32.941Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
5206137374	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/209136155	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris		US		Texas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	30.466516	-101.804138	15.0						2024-04-13T22:58	13	4	2024	4301148	4301148	HUMAN_OBSERVATION	iNaturalist	Observations	209136155		Rich Kostecke	2024-04-24T20:16:41	CC_BY_NC_4_0	Rich Kostecke	Rich Kostecke			2025-10-28T00:32:23.071Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5206019404	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/208998773	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris		US		Texas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	30.597716	-103.92871	4.0						2024-04-19T21:28	19	4	2024	4301148	4301148	HUMAN_OBSERVATION	iNaturalist	Observations	208998773		Sam Kieschnick	2024-04-24T00:24:22	CC_BY_4_0	Sam Kieschnick	Sam Kieschnick			2025-10-27T22:22:44.452Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5172041341	323b0e80-5e4b-4cc4-936a-d93fc8cae9bc	cd4b7310-e095-446d-bb10-5ed4c05da53d	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris	(Grote, 1873)	US	3 mi. SSE of Glendive, Makoshika State Park, Cains CG	Montana	PRESENT	1	0d923068-1cec-44de-8b78-33a51fb0cacd	47.07547	-104.69495	5.0		655.0				2024-07-06	6	7	2024	4301148	4301148	PRESERVED_SPECIMEN	CSU	CSUC	CSU_ENT1270490				CC0_1_0	Department of Bioagricultural Sciences	Marian L. Kirst			2025-10-25T09:37:57.856Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
5172040341	323b0e80-5e4b-4cc4-936a-d93fc8cae9bc	b9829a11-b15b-4c0c-ac79-0e950a503764	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris	(Grote, 1873)	US	1.7 mi. W of MT hw 13, mi. marker 36, Susag Farms, W Susag Rd., near Caragana	Montana	PRESENT	1	0d923068-1cec-44de-8b78-33a51fb0cacd	48.57848	-105.46585	5.0		728.0				2024-08-01	1	8	2024	4301148	4301148	PRESERVED_SPECIMEN	CSU	CSUC	CSU_ENT1270493				CC0_1_0	Department of Bioagricultural Sciences	Mat Seidensticker			2025-10-25T09:37:58.300Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
5172037341	323b0e80-5e4b-4cc4-936a-d93fc8cae9bc	169b2719-ec20-448b-bffb-1f4a0a41cf32	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris	(Grote, 1873)	US	6 mi. W of Columbus, Holmgren Fishing Access Site (FAS)	Montana	PRESENT	1	0d923068-1cec-44de-8b78-33a51fb0cacd	45.66225	-109.34449	5.0		1094.0				2024-09-16	16	9	2024	4301148	4301148	PRESERVED_SPECIMEN	CSU	CSUC	CSU_ENT1270497				CC0_1_0	Department of Bioagricultural Sciences	D. Harty; D. Johnson et al.			2025-10-25T09:37:58.370Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
5172036330	323b0e80-5e4b-4cc4-936a-d93fc8cae9bc	eb037380-256a-4edc-97d8-88dfaf0a63cb	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris	(Grote, 1873)	US	6 mi. W of Columbus, Holmgren Fishing Access Site (FAS)	Montana	PRESENT	1	0d923068-1cec-44de-8b78-33a51fb0cacd	45.66002	-109.34332	5.0		1094.0				2024-09-16	16	9	2024	4301148	4301148	PRESERVED_SPECIMEN	CSU	CSUC	CSU_ENT1270495				CC0_1_0	Department of Bioagricultural Sciences	D. Harty; D. Johnson et al.			2025-10-25T09:37:58.270Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
5172032332	323b0e80-5e4b-4cc4-936a-d93fc8cae9bc	ca12274e-3900-4b89-812e-9aaf185ae31a	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris	(Grote, 1873)	US	8.5 mi W of Dillon, on Salix property	Montana	PRESENT	1	0d923068-1cec-44de-8b78-33a51fb0cacd	45.211433	-112.812755	5.0		1712.0				2024-07-12	12	7	2024	4301148	4301148	PRESERVED_SPECIMEN	CSU	CSUC	CSU_ENT1270496				CC0_1_0	Department of Bioagricultural Sciences	Jessie Salix			2025-10-25T09:37:58.243Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
5172028342	323b0e80-5e4b-4cc4-936a-d93fc8cae9bc	25f5076a-0767-4d1d-b0d6-589dd560fcd5	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris	(Grote, 1873)	US	6 mi. W of Columbus, Holmgren Fishing Access Site (FAS)	Montana	PRESENT	1	0d923068-1cec-44de-8b78-33a51fb0cacd	45.66002	-109.34332	5.0		1094.0				2024-09-16	16	9	2024	4301148	4301148	PRESERVED_SPECIMEN	CSU	CSUC	CSU_ENT1270492				CC0_1_0	Department of Bioagricultural Sciences	D. Harty; D. Johnson et al.			2025-10-25T09:37:59.515Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
5172026336	323b0e80-5e4b-4cc4-936a-d93fc8cae9bc	01b4ae09-f1f5-4439-9c75-56e1c50a316d	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris	(Grote, 1873)	US	6 mi. W of Columbus, Holmgren Fishing Access Site (FAS)	Montana	PRESENT	1	0d923068-1cec-44de-8b78-33a51fb0cacd	45.66161	-109.34556	5.0		1089.0				2024-09-16	16	9	2024	4301148	4301148	PRESERVED_SPECIMEN	CSU	CSUC	CSU_ENT1270494				CC0_1_0	Department of Bioagricultural Sciences	D. Harty; D. Johnson et al.			2025-10-25T09:37:58.192Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
